handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct,data_repaired_flag,recent_posts_sampled_sim,luxury_post_count_sim,jewelry_post_count_sim,fashion_apparel_post_count_sim,beauty_post_count_sim,lifestyle_post_count_sim,luxury_post_ratio_sim,jewelry_post_ratio_sim,fashion_apparel_post_ratio_sim,beauty_post_ratio_sim,lifestyle_post_ratio_sim,past_campaign_count_sim,past_luxury_campaign_count_sim,past_successful_campaign_count_sim,past_successful_luxury_campaign_count_sim,past_campaign_success_rate_sim,past_luxury_campaign_success_rate_sim,avg_campaign_roas_sim,avg_sales_uplift_pct_sim,avg_conversion_rate_pct_sim,simulated_campaign_success_target,synthetic_data_flag,synthetic_generation_version
@chinamcclain,China,tiktok,lifestyle,17300000.0,7.28,,TRUE,0.0,0,40,11,3,9,2,32,0.275,0.075,0.225,0.05,0.8,7,2,4,1,0.5714,0.5,2.83,19.69,3.53,0,1,v1_deterministic
@agt,America?s Got Talent,tiktok,lifestyle,17200000.0,5.26,,TRUE,0.0,0,40,13,4,19,10,26,0.325,0.1,0.475,0.25,0.65,7,1,5,1,0.7143,1.0,3.84,24.88,3.59,0,1,v1_deterministic
@jflamusic,JFlaMusic,youtube,music,17200000.0,50,,FALSE,0.0,0,20,3,0,2,7,3,0.15,0.0,0.1,0.35,0.15,5,0,3,0,0.6,0.0,3.06,17.68,3.76,0,1,v1_deterministic
@genierock,Genierock,youtube,music,17200000.0,43.46,,FALSE,0.0,0,20,7,3,4,3,5,0.35,0.15,0.2,0.15,0.25,3,2,0,0,0.0,0.0,1.8,7.71,1.76,0,1,v1_deterministic
@merrickhanna,Merrick Hanna,youtube,business,17200000.0,45.4,,FALSE,0.0,0,20,0,0,1,0,1,0.0,0.0,0.05,0.0,0.05,4,0,3,0,0.75,0.0,3.13,20.48,4.54,0,1,v1_deterministic
@secretvlog,Secret Vlog,youtube,lifestyle,17200000.0,26.89,,FALSE,0.0,0,20,6,2,8,5,13,0.3,0.1,0.4,0.25,0.65,16,6,10,2,0.625,0.3333,3.53,20.38,3.36,0,1,v1_deterministic
@rs1313shorts,RS 1313 SHORTS,youtube,comedy,17200000.0,7.43,,FALSE,0.0,0,20,2,0,2,0,3,0.1,0.0,0.1,0.0,0.15,6,0,3,0,0.5,0.0,2.87,17.72,3.08,1,1,v1_deterministic
@edisonpts,EdisonPts,youtube,lifestyle,17200000.0,11.31,,FALSE,0.0,0,20,6,0,10,5,14,0.3,0.0,0.5,0.25,0.7,7,2,2,1,0.2857,0.5,1.97,16.53,2.98,1,1,v1_deterministic
@daviddobrik,David Dobrik,youtube,business,17200000.0,50,,FALSE,0.0,0,20,2,1,1,0,1,0.1,0.05,0.05,0.0,0.05,6,4,2,2,0.3333,0.5,2.68,14.81,2.77,1,1,v1_deterministic
@pledis17,SEVENTEEN,youtube,lifestyle,17200000.0,13.72,,FALSE,0.0,0,20,2,1,5,5,11,0.1,0.05,0.25,0.25,0.55,9,2,2,1,0.2222,0.5,1.93,5.92,1.94,0,1,v1_deterministic
@camilacabello,Camila Cabello,youtube,lifestyle,17100000.0,50,,FALSE,0.0,0,20,5,1,9,10,10,0.25,0.05,0.45,0.5,0.5,4,1,2,1,0.5,1.0,2.73,12.48,3.32,0,1,v1_deterministic
@camerondallas,Cameron Dallas,tiktok,music,17100000.0,13.82,,TRUE,0.0,0,40,6,2,10,1,5,0.15,0.05,0.25,0.025,0.125,5,2,3,1,0.6,0.5,3.03,15.43,3.75,1,1,v1_deterministic
@?Ø¬?Ø¯?_?Ø¬?Ø¯?,?Ø¬?Ø¯? ?Ø¬?Ø¯?,youtube,music,17100000.0,50,,FALSE,0.0,0,20,3,2,5,2,5,0.15,0.1,0.25,0.1,0.25,8,3,4,2,0.5,0.6667,2.62,11.73,3.32,0,1,v1_deterministic
@mythpat,Mythpat,youtube,lifestyle,17100000.0,50,,FALSE,0.0,0,20,7,0,9,3,15,0.35,0.0,0.45,0.15,0.75,7,4,7,2,1.0,0.5,4.28,22.06,5.28,1,1,v1_deterministic
@littleglove,LittleGlove,youtube,education,17000000.0,38.4,,FALSE,0.0,0,20,0,0,3,1,5,0.0,0.0,0.15,0.05,0.25,4,0,4,0,1.0,0.0,3.83,31.83,5.18,1,1,v1_deterministic
@boyceavenue,Boyce Avenue,youtube,music,17000000.0,50,,FALSE,0.0,0,20,5,1,7,1,6,0.25,0.05,0.35,0.05,0.3,7,0,6,0,0.8571,0.0,4.0,22.92,5.15,0,1,v1_deterministic
@crashcourse,CrashCourse,youtube,education,17000000.0,5.76,US,FALSE,0.0,0,20,0,0,0,2,2,0.0,0.0,0.0,0.1,0.1,4,0,1,0,0.25,0.0,1.36,7.59,1.74,0,1,v1_deterministic
@saturdaynightlive,Saturday Night Live,youtube,music,17000000.0,11.36,,FALSE,0.0,0,20,5,3,4,3,5,0.25,0.15,0.2,0.15,0.25,6,1,2,1,0.3333,1.0,2.18,15.65,1.59,0,1,v1_deterministic
@indorephysicalacademy.,Indore Physical Academy,youtube,lifestyle,17000000.0,8.69,,FALSE,0.0,0,20,3,2,8,4,17,0.15,0.1,0.4,0.2,0.85,5,1,2,1,0.4,1.0,2.69,14.95,2.48,1,1,v1_deterministic
@samsmith,SAM SMITH,youtube,music,17000000.0,50,,FALSE,0.0,0,20,4,1,3,4,4,0.2,0.05,0.15,0.2,0.2,10,1,6,1,0.6,1.0,3.13,22.11,3.62,0,1,v1_deterministic
@chuchutvhindi,ChuChuTV Hindi,youtube,lifestyle,16900000.0,50,,FALSE,0.0,0,20,7,4,6,4,19,0.35,0.2,0.3,0.2,0.95,10,4,6,3,0.6,0.75,3.0,22.2,4.09,1,1,v1_deterministic
@prashantrajputt,Prashant Rajput,youtube,business,16900000.0,17.19,,FALSE,0.0,0,20,1,0,1,0,9,0.05,0.0,0.05,0.0,0.45,11,0,2,0,0.1818,0.0,2.05,8.92,2.39,0,1,v1_deterministic
@englishconnectionbykanchan,English Connection,youtube,education,16900000.0,9.86,,FALSE,0.0,0,20,1,1,0,1,1,0.05,0.05,0.0,0.05,0.05,5,0,2,0,0.4,0.0,1.78,11.08,2.58,0,1,v1_deterministic
@camilo,Camilo,youtube,lifestyle,16900000.0,50,,FALSE,0.0,0,20,6,4,8,4,15,0.3,0.2,0.4,0.2,0.75,6,2,3,2,0.5,1.0,3.08,22.89,3.53,1,1,v1_deterministic
@antarikshyatra,Antariksh Yatra,youtube,tech,16900000.0,28.99,,FALSE,0.0,0,20,1,0,1,0,4,0.05,0.0,0.05,0.0,0.2,9,0,5,0,0.5556,0.0,2.59,14.7,3.21,0,1,v1_deterministic
@kreekcraft,KreekCraft,youtube,lifestyle,16900000.0,6.17,,FALSE,0.0,0,20,3,0,10,5,17,0.15,0.0,0.5,0.25,0.85,5,3,4,2,0.8,0.6667,3.1,20.78,3.4,1,1,v1_deterministic
@upwalaaryan5480,up wala aryan,youtube,lifestyle,16800000.0,50,,FALSE,0.0,0,20,4,5,8,3,18,0.2,0.25,0.4,0.15,0.9,3,1,0,1,0.0,1.0,1.49,15.01,1.28,1,1,v1_deterministic
@boriskatefamily,BorisKateFamily,youtube,lifestyle,16800000.0,31.4,,FALSE,0.0,0,20,5,2,8,6,10,0.25,0.1,0.4,0.3,0.5,6,2,3,2,0.5,1.0,3.23,21.98,3.3,1,1,v1_deterministic
@bigbang,BIGBANG,youtube,lifestyle,16800000.0,50,,FALSE,0.0,0,20,4,2,8,9,15,0.2,0.1,0.4,0.45,0.75,9,2,6,0,0.6667,0.0,3.08,27.73,3.93,1,1,v1_deterministic
@linustechtips,Linus Tech Tips,youtube,tech,16800000.0,3.95,CA,FALSE,0.0,0,20,0,1,3,0,4,0.0,0.05,0.15,0.0,0.2,5,0,1,0,0.2,0.0,0.81,2.29,0.93,1,1,v1_deterministic
@rupalchoudharytd,RupalChoudhary TD,youtube,comedy,16700000.0,16.39,,FALSE,0.0,0,20,0,0,3,0,7,0.0,0.0,0.15,0.0,0.35,6,1,5,1,0.8333,1.0,3.68,24.57,4.34,1,1,v1_deterministic
@greatindianasmr,Great Indian Asmr,youtube,fashion,16700000.0,3.19,IN,FALSE,0.0,0,20,11,3,13,6,8,0.55,0.15,0.65,0.3,0.4,6,4,1,1,0.1667,0.25,2.44,17.35,1.47,0,1,v1_deterministic
@themccartyfam,The McCartys,youtube,education,16700000.0,43.88,,FALSE,0.0,0,20,2,0,0,2,5,0.1,0.0,0.0,0.1,0.25,5,0,4,0,0.8,0.0,3.5,27.69,4.71,1,1,v1_deterministic
@murliwalehausla,Murliwale Hausla,youtube,lifestyle,16700000.0,28.88,,FALSE,0.0,0,20,5,4,8,4,16,0.25,0.2,0.4,0.2,0.8,11,6,8,4,0.7273,0.6667,3.26,23.45,3.92,0,1,v1_deterministic
@leesiyoung38,?´ì,tiktok,lifestyle,16700000,6.31,,TRUE,0,1,40,12,4,13,8,27,0.3,0.1,0.325,0.2,0.675,1,1,0,0,0.0,0.0,0.69,6.03,1.24,1,1,v1_deterministic
@olivia.valent,Olivia Valent,youtube,lifestyle,16700000.0,23.77,,FALSE,0.0,0,20,7,3,7,3,13,0.35,0.15,0.35,0.15,0.65,6,3,0,0,0.0,0.0,1.49,5.16,1.98,1,1,v1_deterministic
@maizenofficial,Maizen,youtube,lifestyle,16700000.0,50,,FALSE,0.0,0,20,5,0,8,8,9,0.25,0.0,0.4,0.4,0.45,10,4,5,1,0.5,0.25,3.06,19.89,3.06,0,1,v1_deterministic
@lizakoshy,Liza Koshy,youtube,lifestyle,16600000.0,50,,FALSE,0.0,0,20,6,1,8,3,15,0.3,0.05,0.4,0.15,0.75,4,2,1,1,0.25,0.5,2.55,10.67,2.14,0,1,v1_deterministic
@svfsocial,SVF,youtube,lifestyle,16600000.0,7.36,,FALSE,0.0,0,20,6,3,4,10,17,0.3,0.15,0.2,0.5,0.85,5,2,2,0,0.4,0.0,2.5,11.99,2.29,1,1,v1_deterministic
@livespeedy,Live Speedy,youtube,business,16600000.0,11.78,,FALSE,0.0,0,20,1,0,1,1,1,0.05,0.0,0.05,0.05,0.05,4,3,0,2,0.0,0.6667,1.17,5.5,1.23,0,1,v1_deterministic
@wigofellas,WigoFellas,youtube,lifestyle,16600000.0,50,,FALSE,0.0,0,20,5,1,12,8,12,0.25,0.05,0.6,0.4,0.6,9,4,3,1,0.3333,0.25,2.98,9.71,3.21,0,1,v1_deterministic
@lokeshgamer,LOKESH GAMER,youtube,gaming,16600000.0,6.21,,FALSE,0.0,0,20,4,0,4,0,5,0.2,0.0,0.2,0.0,0.25,3,1,2,1,0.6667,1.0,3.19,17.57,3.27,0,1,v1_deterministic
@theharshbeniwal,Harsh Beniwal,youtube,business,16600000.0,50,,FALSE,0.0,0,20,3,2,3,0,3,0.15,0.1,0.15,0.0,0.15,7,1,3,1,0.4286,1.0,2.28,20.5,3.08,0,1,v1_deterministic
@universalmusicindiaofficial,Universal Music India,youtube,music,16600000.0,50,,FALSE,0.0,0,20,4,0,4,2,4,0.2,0.0,0.2,0.1,0.2,6,1,2,0,0.3333,0.0,2.31,11.29,2.76,0,1,v1_deterministic
@lordahmed,LORD Ahmed,youtube,comedy,16600000.0,50,,FALSE,0.0,0,20,2,0,1,0,5,0.1,0.0,0.05,0.0,0.25,8,0,1,0,0.125,0.0,1.77,6.38,1.95,0,1,v1_deterministic
@luisfonsivevo,LuisFonsiVEVO,youtube,lifestyle,16600000.0,50,,FALSE,0.0,0,20,6,1,6,5,13,0.3,0.05,0.3,0.25,0.65,12,2,7,2,0.5833,1.0,2.89,22.45,3.82,1,1,v1_deterministic
@zigandsharko,Zig & Sharko,youtube,lifestyle,16500000.0,37.38,,FALSE,0.0,0,20,6,4,11,3,16,0.3,0.2,0.55,0.15,0.8,8,1,5,1,0.625,1.0,2.97,25.71,3.95,1,1,v1_deterministic
@sangeethkumar,Sangeeth Kumar,youtube,lifestyle,16500000.0,50,,FALSE,0.0,0,20,3,3,9,3,15,0.15,0.15,0.45,0.15,0.75,7,0,6,0,0.8571,0.0,3.48,27.17,4.46,1,1,v1_deterministic
@athosgamer,Athos,youtube,lifestyle,16500000.0,15.7,,FALSE,0.0,0,20,6,3,7,5,18,0.3,0.15,0.35,0.25,0.9,6,2,3,2,0.5,1.0,2.65,23.64,3.29,1,1,v1_deterministic
@fadiljaidi,Fadil Jaidi,tiktok,lifestyle,16500000.0,6.45,,TRUE,0.0,0,40,20,2,20,10,31,0.5,0.05,0.5,0.25,0.775,6,3,3,1,0.5,0.3333,2.46,12.18,3.17,0,1,v1_deterministic
@kidssmiletv,Kids smile TV,youtube,beauty,16500000.0,50,,FALSE,0.0,0,20,4,6,12,17,13,0.2,0.3,0.6,0.85,0.65,4,3,2,0,0.5,0.0,3.26,16.18,3.32,1,1,v1_deterministic
@littlemix,Little Mix,youtube,lifestyle,16500000.0,50,,FALSE,0.0,0,20,2,2,4,6,19,0.1,0.1,0.2,0.3,0.95,5,1,1,1,0.2,1.0,1.95,8.04,2.5,1,1,v1_deterministic
@akon,Akon,youtube,fashion,16400000.0,50,,FALSE,0.0,0,20,9,4,12,3,5,0.45,0.2,0.6,0.15,0.25,11,6,7,5,0.6364,0.8333,3.47,23.47,4.15,1,1,v1_deterministic
@?í¬???í¬??(?¸ê¸° ?ì?»ë??,,youtube,lifestyle,16400000,20.22,,FALSE,0,1,20,7,2,7,3,13,0.35,0.1,0.35,0.15,0.65,7,3,4,2,0.5714,0.6667,3.42,18.41,3.32,0,1,v1_deterministic
@realdonaldtrump,President Donald J Trump,tiktok,lifestyle,16400000.0,11.11,,TRUE,0.0,0,40,8,3,13,12,29,0.2,0.075,0.325,0.3,0.725,4,1,2,0,0.5,0.0,2.49,21.63,3.05,0,1,v1_deterministic
@rihanna,Rihanna,tiktok,lifestyle,16400000.0,14.38,,TRUE,0.0,0,40,12,3,19,9,24,0.3,0.075,0.475,0.225,0.6,6,2,4,1,0.6667,0.5,3.11,18.49,4.14,1,1,v1_deterministic
@mattstonie,Matt Stonie,youtube,food,16400000.0,49.05,,FALSE,0.0,0,20,0,0,1,0,5,0.0,0.0,0.05,0.0,0.25,8,1,4,0,0.5,0.0,2.63,11.99,3.7,1,1,v1_deterministic
@kuldeepsinghaniashorts,Kuldeep Singhania Shorts,youtube,music,16400000.0,45.15,,FALSE,0.0,0,20,3,0,4,2,4,0.15,0.0,0.2,0.1,0.2,9,1,4,1,0.4444,1.0,2.5,15.97,3.08,1,1,v1_deterministic
@zayn,zayn,youtube,lifestyle,16400000.0,50,,FALSE,0.0,0,20,3,4,8,4,15,0.15,0.2,0.4,0.2,0.75,6,0,3,0,0.5,0.0,2.86,16.92,3.5,1,1,v1_deterministic
@eeoneguy,EeOneGuy,youtube,lifestyle,16400000.0,50,,FALSE,0.0,0,20,5,2,11,5,15,0.25,0.1,0.55,0.25,0.75,12,3,7,1,0.5833,0.3333,2.95,18.46,3.57,0,1,v1_deterministic
@hajimesyacho,???ã?ã¡?ã¼ï¼hajimeï¼,youtube,lifestyle,16300000,23.81,,FALSE,0,1,20,7,4,6,6,13,0.35,0.2,0.3,0.3,0.65,9,2,6,1,0.6667,0.5,3.11,13.89,4.07,1,1,v1_deterministic
@doctops,Doc Tops,youtube,lifestyle,16300000.0,34.26,,FALSE,0.0,0,20,5,3,7,3,12,0.25,0.15,0.35,0.15,0.6,4,2,0,1,0.0,0.5,0.67,2.37,1.12,0,1,v1_deterministic
@lionfield,Lionfield,youtube,music,16300000.0,50,,FALSE,0.0,0,20,4,4,5,4,7,0.2,0.2,0.25,0.2,0.35,4,0,2,0,0.5,0.0,2.96,11.8,2.6,0,1,v1_deterministic
@mohamedramadan,Mohamed Ramadan I ?Ø­?Ø¯ Ø±?Ø¶Ø§?,youtube,music,16200000.0,43.65,,FALSE,0.0,0,20,6,3,5,2,4,0.3,0.15,0.25,0.1,0.2,7,6,2,4,0.2857,0.6667,2.15,9.5,2.38,1,1,v1_deterministic
@heybrandonb,Brandon B,youtube,music,16200000.0,50,,FALSE,0.0,0,20,6,1,7,3,10,0.3,0.05,0.35,0.15,0.5,14,2,11,2,0.7857,1.0,3.52,22.4,5.06,1,1,v1_deterministic
@pushpanjalimaurya,Pushpanjali Maurya,youtube,business,16200000.0,22.91,,FALSE,0.0,0,20,2,0,6,0,3,0.1,0.0,0.3,0.0,0.15,5,0,1,0,0.2,0.0,1.64,5.92,2.47,0,1,v1_deterministic
@melaniemartinez,melanie martinez,youtube,music,16200000.0,50,,FALSE,0.0,0,20,4,5,7,5,3,0.2,0.25,0.35,0.25,0.15,6,2,4,1,0.6667,0.5,3.54,17.3,3.99,0,1,v1_deterministic
@talkingfriends,Talking Tom & Friends TV,youtube,lifestyle,16200000.0,40.77,,FALSE,0.0,0,20,3,1,7,5,14,0.15,0.05,0.35,0.25,0.7,5,1,4,1,0.8,1.0,3.96,19.94,5.45,1,1,v1_deterministic
@canalin,Canal IN,youtube,lifestyle,16200000.0,24.53,,FALSE,0.0,0,20,5,0,5,4,15,0.25,0.0,0.25,0.2,0.75,2,0,2,0,1.0,0.0,4.41,28.73,5.31,0,1,v1_deterministic
@brunomars,Bruno Mars,tiktok,lifestyle,16100000.0,10.4,,TRUE,0.0,0,40,16,6,15,6,28,0.4,0.15,0.375,0.15,0.7,12,4,7,3,0.5833,0.75,3.63,20.49,3.37,0,1,v1_deterministic
@zncoficial,ZÃ© Neto e Cristiano,youtube,music,16100000.0,50,,FALSE,0.0,0,20,6,2,5,3,5,0.3,0.1,0.25,0.15,0.25,8,4,6,3,0.75,0.75,3.77,28.13,3.99,1,1,v1_deterministic
@ketanmehta555,Ketan mehta,youtube,business,16100000.0,50,,FALSE,0.0,0,20,2,1,2,1,2,0.1,0.05,0.1,0.05,0.1,3,0,3,0,1.0,0.0,3.92,26.75,5.36,0,1,v1_deterministic
@rottentomatoestrailers,Rotten Tomatoes Trailers,youtube,lifestyle,16100000.0,6.55,,FALSE,0.0,0,20,4,5,7,8,12,0.2,0.25,0.35,0.4,0.6,5,1,2,1,0.4,1.0,2.12,11.39,2.71,1,1,v1_deterministic
@thediaryofaceo,The Diary Of A CEO,youtube,lifestyle,16000000.0,11.46,,FALSE,0.0,0,20,2,1,6,4,16,0.1,0.05,0.3,0.2,0.8,4,0,3,0,0.75,0.0,3.38,24.37,4.16,0,1,v1_deterministic
@omped_visual22,omped_visual,youtube,lifestyle,16000000.0,50,,FALSE,0.0,0,20,8,0,8,7,15,0.4,0.0,0.4,0.35,0.75,16,6,7,4,0.4375,0.6667,3.24,18.65,3.3,0,1,v1_deterministic
@mashabearhindi,à¤?¤¾à¤¶à¤¾ à¤à¤à¤?à¤?à¤¬à¥à¤?¤°,youtube,lifestyle,16000000.0,28.23,,FALSE,0.0,0,20,7,0,6,5,13,0.35,0.0,0.3,0.25,0.65,8,4,3,3,0.375,0.75,2.53,22.61,2.75,0,1,v1_deterministic
@leagueoflegends,League of Legends,youtube,gaming,16000000.0,35.01,,FALSE,0.0,0,20,2,1,2,1,6,0.1,0.05,0.1,0.05,0.3,8,3,3,2,0.375,0.6667,1.8,10.19,3.2,0,1,v1_deterministic
@uwucutesingle,uwucutesingle,youtube,music,15900000.0,24.14,,FALSE,0.0,0,20,3,2,4,3,4,0.15,0.1,0.2,0.15,0.2,8,1,3,0,0.375,0.0,2.64,7.02,2.71,1,1,v1_deterministic
@thesocialfactory,Elvish yadav,youtube,lifestyle,15900000.0,50,,FALSE,0.0,0,20,8,1,11,2,15,0.4,0.05,0.55,0.1,0.75,10,4,7,4,0.7,1.0,3.47,21.48,3.46,0,1,v1_deterministic
@oliviarodrigo,Olivia Rodrigo,youtube,lifestyle,15900000.0,50,,FALSE,0.0,0,20,9,2,10,9,15,0.45,0.1,0.5,0.45,0.75,6,4,6,3,1.0,0.75,4.45,32.21,4.73,1,1,v1_deterministic
@wishfm1075official,Wish 107.5,youtube,music,15900000.0,17.77,,FALSE,0.0,0,20,5,3,4,2,6,0.25,0.15,0.2,0.1,0.3,4,3,2,2,0.5,0.6667,2.84,9.82,3.23,0,1,v1_deterministic
@atlanticrecords,Atlantic Records,youtube,music,15900000.0,42.35,,FALSE,0.0,0,20,3,1,4,4,6,0.15,0.05,0.2,0.2,0.3,8,2,5,2,0.625,1.0,2.75,19.34,4.1,1,1,v1_deterministic
@technologygyan,Technology Gyan,youtube,tech,15900000.0,5.19,IN,FALSE,0.0,0,20,2,1,2,1,5,0.1,0.05,0.1,0.05,0.25,10,3,5,2,0.5,0.6667,2.68,15.73,2.52,0,1,v1_deterministic
@nianaguerrero,Niana Guerrero,youtube,fashion,15800000.0,20.34,,FALSE,0.0,0,20,6,2,16,2,8,0.3,0.1,0.8,0.1,0.4,12,5,8,4,0.6667,0.8,3.43,12.68,3.92,1,1,v1_deterministic
@themanniishow,The Mannii Show,youtube,comedy,15800000.0,20.48,,FALSE,0.0,0,20,0,1,3,1,2,0.0,0.05,0.15,0.05,0.1,7,1,4,1,0.5714,1.0,2.89,14.22,4.16,0,1,v1_deterministic
@looooooooch,leah halton,tiktok,lifestyle,15800000.0,5.68,,TRUE,0.0,0,40,11,2,16,7,32,0.275,0.05,0.4,0.175,0.8,4,0,1,0,0.25,0.0,1.69,5.33,2.24,0,1,v1_deterministic
@saadlamjarred,Saad Lamjarred | Ø³Ø¹Ø¯ ??Ø¬Ø±Ø¯,youtube,lifestyle,15800000.0,50,,FALSE,0.0,0,20,5,2,7,2,12,0.25,0.1,0.35,0.1,0.6,0,0,0,0,0.0,0.0,1.55,-0.17,1.42,0,1,v1_deterministic
@5minutecraftsfamily,5-Minute Crafts FAMILY,youtube,lifestyle,15800000.0,6.7,,FALSE,0.0,0,20,4,2,9,7,10,0.2,0.1,0.45,0.35,0.5,6,2,2,2,0.3333,1.0,2.19,14.39,1.54,1,1,v1_deterministic
@auron,Auron,youtube,lifestyle,15800000.0,20.96,,FALSE,0.0,0,20,3,4,5,6,14,0.15,0.2,0.25,0.3,0.7,7,0,5,0,0.7143,0.0,3.08,13.52,4.08,1,1,v1_deterministic
@pritamyadavofficial95,Pritam Yadav Official,youtube,lifestyle,15800000.0,25.83,,FALSE,0.0,0,20,6,1,13,5,15,0.3,0.05,0.65,0.25,0.75,8,2,4,1,0.5,0.5,2.75,12.39,3.35,0,1,v1_deterministic
@familyfitnesschannel,Family Fitness,youtube,fitness,15700000.0,30.15,,FALSE,0.0,0,20,3,0,5,0,6,0.15,0.0,0.25,0.0,0.3,10,1,6,1,0.6,1.0,3.05,15.43,3.57,1,1,v1_deterministic
@lofigirl,Lofi Girl,youtube,music,15700000.0,43.29,,FALSE,0.0,0,20,5,1,2,1,4,0.25,0.05,0.1,0.05,0.2,12,4,6,3,0.5,0.75,2.54,16.09,3.69,0,1,v1_deterministic
@samandcolby,Sam and Colby,youtube,travel,15700000.0,41.77,,FALSE,0.0,0,20,6,0,6,2,7,0.3,0.0,0.3,0.1,0.35,7,3,5,0,0.7143,0.0,3.37,16.89,4.26,1,1,v1_deterministic
@momo,ëª¨ëª¨ (MOMO),instagram,lifestyle,15610861.0,5.6,,TRUE,0.0,0,30,5,5,12,9,19,0.1667,0.1667,0.4,0.3,0.6333,5,2,3,2,0.6,1.0,2.76,9.67,2.96,1,1,v1_deterministic
@itsmamix,Mamix,youtube,lifestyle,15600000.0,39.28,,FALSE,0.0,0,20,6,0,11,6,16,0.3,0.0,0.55,0.3,0.8,6,0,5,0,0.8333,0.0,3.65,22.78,4.52,1,1,v1_deterministic
@bo3di,Bodi Ø¨?Ø¯?,youtube,business,15600000.0,18.88,,FALSE,0.0,0,20,2,1,5,0,5,0.1,0.05,0.25,0.0,0.25,7,0,4,0,0.5714,0.0,2.88,18.66,3.32,1,1,v1_deterministic
@5minutecraftslike,5-Minute Crafts LIKE,youtube,lifestyle,15600000.0,7.27,,FALSE,0.0,0,20,4,1,6,4,14,0.2,0.05,0.3,0.2,0.7,1,0,1,0,1.0,0.0,3.65,35.13,4.08,1,1,v1_deterministic
@simranmakhija01,Simran Makhija,youtube,lifestyle,15600000.0,50,,FALSE,0.0,0,20,6,2,9,4,13,0.3,0.1,0.45,0.2,0.65,9,3,7,2,0.7778,0.6667,3.61,12.69,4.52,0,1,v1_deterministic
@jeffreestar,jeffreestar,youtube,fashion,15600000.0,38.47,,FALSE,0.0,0,20,5,2,14,3,7,0.25,0.1,0.7,0.15,0.35,8,3,7,2,0.875,0.6667,4.08,34.24,4.49,1,1,v1_deterministic
@etvjabardasth,ETV Jabardasth,youtube,comedy,15600000.0,6.63,,FALSE,0.0,0,20,0,0,0,0,3,0.0,0.0,0.0,0.0,0.15,3,1,3,0,1.0,0.0,3.53,26.48,4.65,0,1,v1_deterministic
@bindasskavya,Bindass Kavya,youtube,travel,15600000.0,41.69,,FALSE,0.0,0,20,2,1,4,2,11,0.1,0.05,0.2,0.1,0.55,7,1,4,0,0.5714,0.0,3.19,22.01,3.55,1,1,v1_deterministic
@awakeningrecords,Awakening Music,youtube,music,15600000.0,38.19,,FALSE,0.0,0,20,3,2,6,3,7,0.15,0.1,0.3,0.15,0.35,11,1,8,1,0.7273,1.0,3.19,17.33,4.14,0,1,v1_deterministic
@mattybraps,MattyBRaps,youtube,business,15500000.0,50,,FALSE,0.0,0,20,0,0,2,0,1,0.0,0.0,0.1,0.0,0.05,5,1,3,0,0.6,0.0,3.22,10.85,4.09,1,1,v1_deterministic
@teamstars_,TeAm STARS,youtube,business,15500000.0,50,,FALSE,0.0,0,20,3,0,5,1,8,0.15,0.0,0.25,0.05,0.4,1,1,0,1,0.0,1.0,1.22,5.02,1.76,1,1,v1_deterministic
@biperysusamigos,Biper y sus Amigos,youtube,lifestyle,15500000.0,50,,FALSE,0.0,0,20,4,1,8,5,17,0.2,0.05,0.4,0.25,0.85,6,0,5,0,0.8333,0.0,4.12,26.08,4.2,0,1,v1_deterministic
@nbayoungboy,YoungBoy Never Broke Again,youtube,lifestyle,15500000.0,50,,FALSE,0.0,0,20,6,1,9,4,14,0.3,0.05,0.45,0.2,0.7,12,6,7,3,0.5833,0.5,2.93,11.02,4.0,0,1,v1_deterministic
@jorgeemateus,Jorge & Mateus Oficial,youtube,lifestyle,15500000.0,50,,FALSE,0.0,0,20,9,1,10,6,12,0.45,0.05,0.5,0.3,0.6,9,2,2,2,0.2222,1.0,2.26,12.62,2.47,1,1,v1_deterministic
@trakintech,Trakin Tech,youtube,tech,15500000.0,4.61,IN,FALSE,0.0,0,20,2,2,1,1,10,0.1,0.1,0.05,0.05,0.5,5,0,1,0,0.2,0.0,1.63,5.65,1.02,1,1,v1_deterministic
@gongsam_table203,GONGSAM TABLE ?´ê³µ,youtube,lifestyle,15500000,24.15,,FALSE,0,1,20,5,4,9,8,16,0.25,0.2,0.45,0.4,0.8,6,3,3,1,0.5,0.3333,2.74,17.16,3.15,1,1,v1_deterministic
@chunnumunnuvines,Chunnu Munnu Vines,youtube,comedy,15500000.0,48.95,,FALSE,0.0,0,20,1,1,1,2,3,0.05,0.05,0.05,0.1,0.15,10,1,2,1,0.2,1.0,1.23,12.67,2.43,1,1,v1_deterministic
@hogi,Hogi! Pinkfong - Learn & Play,youtube,education,15500000.0,35.21,,FALSE,0.0,0,20,0,1,1,2,2,0.0,0.05,0.05,0.1,0.1,7,0,5,0,0.7143,0.0,3.38,24.75,4.49,0,1,v1_deterministic
@dopelyrics,DopeLyrics,youtube,music,15500000.0,50,,FALSE,0.0,0,20,4,0,4,5,3,0.2,0.0,0.2,0.25,0.15,9,2,8,1,0.8889,0.5,3.79,31.37,5.21,1,1,v1_deterministic
@mattsdance,Matt Steffanina,youtube,lifestyle,15400000.0,21.15,,FALSE,0.0,0,20,8,2,7,4,13,0.4,0.1,0.35,0.2,0.65,7,1,3,1,0.4286,1.0,3.13,22.81,3.59,1,1,v1_deterministic
